compound,template_pdb,template_ccd,template_chain,mcs_atoms,posit_probability,posit_method,ca_rmsd,out_pdb,error
x03319-1,6TFI,N6H,B,9.0,0.009999999776482582,FRED,0.665953360784598,structures/boltz2_track2/redock_posit/x03319-1/x03319-1_posit.pdb,
x03325-1,5A86,D7E,A,12.0,0.14000000059604645,HYBRID,0.6143068147222859,structures/boltz2_track2/redock_posit/x03325-1/x03325-1_posit.pdb,
x03331-1,6XP9,QCG,A,11.0,0.019999999552965164,FRED,0.7060909929778321,structures/boltz2_track2/redock_posit/x03331-1/x03331-1_posit.pdb,
x03363-1,9BEQ,AP1,A,11.0,0.009999999776482582,FRED,1.0569607179477423,structures/boltz2_track2/redock_posit/x03363-1/x03363-1_posit.pdb,
x03365-1,6BNS,XGH,A,7.0,0.019999999552965164,FRED,0.5857008057919454,structures/boltz2_track2/redock_posit/x03365-1/x03365-1_posit.pdb,
x03371-1,2O9I,444,A,12.0,0.019999999552965164,FRED,0.7888733202091233,structures/boltz2_track2/redock_posit/x03371-1/x03371-1_posit.pdb,
x03385-1,1NRL,SRL,A,12.0,0.019999999552965164,FRED,0.6304491549454002,structures/boltz2_track2/redock_posit/x03385-1/x03385-1_posit.pdb,
x03387-1,2O9I,444,A,7.0,0.18000000715255737,HYBRID,0.7456289539177029,structures/boltz2_track2/redock_posit/x03387-1/x03387-1_posit.pdb,
x03400-1,6HJ2,P06,A,10.0,0.23999999463558197,FRED,0.3873402605348695,structures/boltz2_track2/redock_posit/x03400-1/x03400-1_posit.pdb,
x03401-1,1NRL,SRL,A,6.0,0.05000000074505806,FRED,0.589350128835857,structures/boltz2_track2/redock_posit/x03401-1/x03401-1_posit.pdb,
x03405-1,4NY9,2Q4,A,8.0,0.019999999552965164,FRED,0.7413692960586304,structures/boltz2_track2/redock_posit/x03405-1/x03405-1_posit.pdb,
x03406-1,5A86,D7E,A,13.0,0.019999999552965164,FRED,0.6264988786980034,structures/boltz2_track2/redock_posit/x03406-1/x03406-1_posit.pdb,
x03420-1,8SVO,WSO,A,10.0,0.05000000074505806,FRED,0.7436331341593865,structures/boltz2_track2/redock_posit/x03420-1/x03420-1_posit.pdb,
x03421-1,2O9I,444,A,11.0,0.18000000715255737,HYBRID,0.6828453863495287,structures/boltz2_track2/redock_posit/x03421-1/x03421-1_posit.pdb,
x03425-1,2O9I,444,A,11.0,0.18000000715255737,HYBRID,0.7810414125035084,structures/boltz2_track2/redock_posit/x03425-1/x03425-1_posit.pdb,
x03432-1,8EQZ,WQB,A,8.0,0.019999999552965164,FRED,0.7071739380882385,structures/boltz2_track2/redock_posit/x03432-1/x03432-1_posit.pdb,
x03454-1,7AXD,S6W,A,12.0,0.019999999552965164,FRED,0.39446400595271297,structures/boltz2_track2/redock_posit/x03454-1/x03454-1_posit.pdb,
x03462-1,6DUP,HCJ,A,12.0,0.23999999463558197,FRED,0.6517640790041326,structures/boltz2_track2/redock_posit/x03462-1/x03462-1_posit.pdb,
x03463-1,9FZG,A1IHA,A,11.0,,,,,receptor_build_failed
x03464-1,4NY9,2Q4,A,7.0,0.14000000059604645,HYBRID,0.7519004700866581,structures/boltz2_track2/redock_posit/x03464-1/x03464-1_posit.pdb,
x03468-1,2O9I,444,A,12.0,0.019999999552965164,FRED,0.7550196139739204,structures/boltz2_track2/redock_posit/x03468-1/x03468-1_posit.pdb,
