compound,qha,template_pdb,template_ccd,mcs_atoms,mcs_coverage,source,template_rmsd,skipped,error
x01039-1,17,2O9I,444,14.0,0.8235294117647058,boltz_model_2,6.452265222618225,,
x01039-1,17,2O9I,444,14.0,0.8235294117647058,boltz_model_3,6.525251286897446,,
x01039-1,17,2O9I,444,14.0,0.8235294117647058,boltz_model_4,6.43197721423259,,
x01039-1,17,2O9I,444,14.0,0.8235294117647058,gnina_refined,6.517292106533739,,
x01039-1,17,2O9I,444,14.0,0.8235294117647058,template_transferred,0.12101375048260792,,
x01070-1,15,6TFI,N6H,11.0,0.7333333333333333,boltz_model_0,7.0512505239029775,,
x01070-1,15,6TFI,N6H,11.0,0.7333333333333333,boltz_model_1,6.703147566011329,,
x01070-1,15,6TFI,N6H,11.0,0.7333333333333333,boltz_model_2,6.809167782394927,,
x01070-1,15,6TFI,N6H,11.0,0.7333333333333333,boltz_model_3,6.8173861579425505,,
x01070-1,15,6TFI,N6H,11.0,0.7333333333333333,boltz_model_4,6.630326055137004,,
x01070-1,15,6TFI,N6H,11.0,0.7333333333333333,gnina_refined,6.660652540047725,,
x01070-1,15,6TFI,N6H,11.0,0.7333333333333333,template_transferred,0.11292382036521446,,
x01105-1,16,9BEQ,AP1,10.0,0.625,boltz_model_0,8.336666799410564,,
x01105-1,16,9BEQ,AP1,10.0,0.625,boltz_model_1,7.321404553548318,,
x01105-1,16,9BEQ,AP1,10.0,0.625,boltz_model_2,7.85537802151531,,
x01105-1,16,9BEQ,AP1,10.0,0.625,boltz_model_3,7.7640856433724865,,
x01105-1,16,9BEQ,AP1,10.0,0.625,boltz_model_4,7.22298533975756,,
x01105-1,16,9BEQ,AP1,10.0,0.625,gnina_refined,7.604708892026861,,
x01105-1,16,9BEQ,AP1,10.0,0.625,template_transferred,0.046329653361142406,,
x01108-1,16,9BEQ,AP1,9.0,0.5625,boltz_model_0,2.4942374263239318,,
x01108-1,16,9BEQ,AP1,9.0,0.5625,boltz_model_1,4.477746207059408,,
x01108-1,16,9BEQ,AP1,9.0,0.5625,boltz_model_2,4.857650605631283,,
x01108-1,16,9BEQ,AP1,9.0,0.5625,boltz_model_3,3.392862372313202,,
x01108-1,16,9BEQ,AP1,9.0,0.5625,boltz_model_4,3.544882997571081,,
x01108-1,16,9BEQ,AP1,9.0,0.5625,gnina_refined,3.319967617549504,,
x01108-1,16,9BEQ,AP1,9.0,0.5625,template_transferred,0.01849923468136321,,
x01111-1,16,8SVO,WSO,10.0,0.625,boltz_model_0,5.737750459802571,,
x01111-1,16,8SVO,WSO,10.0,0.625,boltz_model_1,5.208984129450794,,
x01111-1,16,8SVO,WSO,10.0,0.625,boltz_model_2,5.215807412579425,,
x01111-1,16,8SVO,WSO,10.0,0.625,boltz_model_3,5.287659576565488,,
x01111-1,16,8SVO,WSO,10.0,0.625,boltz_model_4,5.579778475310251,,
x01111-1,16,8SVO,WSO,10.0,0.625,gnina_refined,5.450731356847539,,
