rank,username,Submitted,model_report_link,Significance (tiers),MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
36,briford,2026-06-29 15:28 UTC,https://supercowpowers.github.io/workbench/blogs/pxr_weekend_experiments/,Tier 1,0.4442517884610982,0.0320452610228966,0.615650272930666,0.0302620870054378,0.4892739932441077,0.0674590394625445,0.7716007499798666,0.0326105228479231,0.5876913186770782,0.0277984192729144,No
37,pavankum,2026-06-03 16:51 UTC,https://gist.github.com/pavankum/c35157f76ef606b5ffee05ee3ccf84f3,Tier 1,0.4470969379814404,0.0296348718673504,0.6198529410831956,0.0304379201254139,0.5298391168369054,0.0611475635090114,0.7954681659838605,0.0315569044447102,0.6067432741424666,0.0254232057815682,No
38,TakuyaPKPD,2026-06-30 11:26 UTC,https://github.com/BellOka/openadmet-pxr-challenge,Tier 1,0.4491516105271806,0.030124275081797,0.6225635018760054,0.0284050336744552,0.5179301282047621,0.0529540014174758,0.7910644330830392,0.0301603086136674,0.601947615137642,0.0255068777222287,No
39,reillyosadchey,2026-07-01 23:27 UTC,https://github.com/reillyosadchey/pxr-challenge,Tier 1,0.4507374713157517,0.029941990740144,0.6246920713654543,0.0263099465127862,0.5218849553019395,0.0552912745211877,0.8031626894744707,0.0266327350399016,0.6087916493258219,0.0233326121303692,No
40,KalenJosifovski,2026-06-29 14:17 UTC,https://gist.github.com/KalenJosifovski/8c0335073e58b900c523823fa44fa098,Tier 1,0.4519219025403326,0.0301166627706661,0.6266671037226981,0.0335867259917699,0.5220455480308024,0.0622411036466568,0.781803256735218,0.0305882444870545,0.5923206502978714,0.026165267030783,No
41,HungryCapybara,2026-06-01 04:14 UTC,https://docs.google.com/document/d/1nCNclvq4gwk7UzV7MHiFDA8wgWar8NSTY8sxQzJdk6Q/edit?tab=t.0,Tier 1,0.4564194913842286,0.0294800086763958,0.6328354175279787,0.0308267135276907,0.515230948387915,0.0637802671341352,0.7562773250472989,0.0342031939858858,0.5694139178855896,0.0281290519714378,No
42,adlvdl,2026-06-24 06:23 UTC,https://github.com/adlvdl/pxr_challenge,Tier 1,0.4573272382172601,0.0302606652169947,0.6338230767139493,0.0264920771744835,0.5036450560073432,0.0527729359177725,0.7794210999473299,0.0318245469499092,0.5912782899572123,0.0269385649177266,No
43,leeherman99,2026-06-17 14:11 UTC,https://docs.google.com/document/d/1Rhm161zVYxms7FYOXR6zVja5e62jtVTMXY1MXdyTqMM/edit?usp=sharing,Tier 1,0.4590291188598596,0.0306109697311069,0.6364066947150638,0.0318677533082053,0.5022543151897602,0.0605939744488734,0.7615333021749136,0.0327666095290944,0.5747486074700526,0.0279136379458549,No
44,tiuel,2026-07-01 08:58 UTC,https://github.com/etiu/Pxr_challenge1-openadmet-sub17-,Tier 2,0.4591145420676691,0.0302886974812839,0.6363827557448503,0.028264700826186,0.5048924470851863,0.0547905647001024,0.7788558882555701,0.030472308937879,0.5854062931736783,0.0254652739364412,No
45,kulkakulka,2026-06-29 03:38 UTC,https://github.com/anairr18/pxr-challenge/blob/main/reports/writeup.md,Tier 2,0.4591553847890404,0.0282015693552527,0.6369105828009382,0.0340354609876581,0.5314981305457032,0.0667920508276494,0.7660969172456684,0.0336670573266692,0.5785390845531836,0.0271601834082419,No
