variable,bin,model,n,value_min,value_max,mae,mean_residual,mean_pred,ensemble_mae,delta_mae_vs_ensemble
member_range,Q1,ensemble,828,0.08010292053222656,0.3518803119659424,0.30657828309204876,-0.003871389479402377,4.209227669672639,0.30657828309204876,0.0
member_range,Q1,tabpfn_2d_seed10_default,828,0.08010292053222656,0.3518803119659424,0.31353249028109126,-0.01135754825988254,4.216713828453119,0.30657828309204876,0.006954207189042494
member_range,Q1,tabpfn_2d_seed10_top500,828,0.08010292053222656,0.3518803119659424,0.31031595963786773,0.0009921505946468032,4.20436412959859,0.30657828309204876,0.0037376765458189687
member_range,Q2,ensemble,828,0.3520240783691406,0.4805464744567871,0.3197369883254861,0.004293711177432209,4.611104839547206,0.3197369883254861,0.0
member_range,Q2,tabpfn_2d_seed10_default,828,0.3520240783691406,0.4805464744567871,0.33014605630423133,-0.0005651593784203182,4.615963710103058,0.3197369883254861,0.010409067978745246
member_range,Q2,tabpfn_2d_seed10_top500,828,0.3520240783691406,0.4805464744567871,0.31939806089309103,0.0019356657917372886,4.6134628849329005,0.3197369883254861,-0.0003389274323950531
member_range,Q3,ensemble,828,0.4806075096130371,0.6389975547790527,0.3268696190472934,-0.006905826930927782,4.577177566061363,0.3268696190472934,0.0
member_range,Q3,tabpfn_2d_seed10_default,828,0.4806075096130371,0.6389975547790527,0.338906950685713,-0.008596350248309154,4.578868089378744,0.3268696190472934,0.012037331638419635
member_range,Q3,tabpfn_2d_seed10_top500,828,0.4806075096130371,0.6389975547790527,0.32479037827339724,-0.005807466195977252,4.576079205326412,0.3268696190472934,-0.0020792407738961516
member_range,Q4,ensemble,828,0.6392030715942383,0.9315266609191895,0.44011689866407266,-0.02139265525307895,4.2989996047903585,0.44011689866407266,0.0
member_range,Q4,tabpfn_2d_seed10_default,828,0.6392030715942383,0.9315266609191895,0.46011703783360774,-0.015934751694322187,4.293541701231602,0.44011689866407266,0.02000013916953508
member_range,Q4,tabpfn_2d_seed10_top500,828,0.6392030715942383,0.9315266609191895,0.44891036739269435,-0.01513631695537058,4.29274326649265,0.44011689866407266,0.00879346872862169
member_range,Q5,ensemble,828,0.9332942962646484,2.7649688720703125,0.5792365461424085,-0.03319025552849788,3.968625038137194,0.5792365461424085,0.0
member_range,Q5,tabpfn_2d_seed10_default,828,0.9332942962646484,2.7649688720703125,0.5852422656989904,-0.035887722473789505,3.971322505082485,0.5792365461424085,0.006005719556581912
member_range,Q5,tabpfn_2d_seed10_top500,828,0.9332942962646484,2.7649688720703125,0.580373687007001,-0.004895038028846033,3.9403298206375417,0.5792365461424085,0.0011371408645924896
member_std,Q1,ensemble,828,0.026430031141425017,0.10914947629416873,0.3077157223823175,-0.015896370571525324,4.173088399557033,0.3077157223823175,0.0
