rank,global_feature_idx,feature,family,lgbm_gain,gain_share_pct
181,107,chemeleon_107,chemeleon,18.172770479053725,0.034030211859013774
182,144,chemeleon_144,chemeleon,18.10943914053496,0.03391161800621667
183,226,chemeleon_226,chemeleon,18.088321590272244,0.0338720734188786
184,271,chemeleon_271,chemeleon,18.062374913220992,0.03382348584011018
185,868,mordred__GATS6p,mordred,18.045432597456966,0.03379175976975142
186,198,chemeleon_198,chemeleon,17.94473722059047,0.033603198261645664
187,77,chemeleon_077,chemeleon,17.818492223945213,0.033366792701638705
188,1739,mordred__VSA_EState9,mordred,17.77731945956475,0.03328969285072146
189,885,mordred__GATS8s,mordred,17.755801394145237,0.0332493982613045
190,587,mordred__SddsN,mordred,17.751229643821716,0.03324083723136934
191,284,chemeleon_284,chemeleon,17.691235878912266,0.03312849329721568
192,778,mordred__ATSC4i,mordred,17.67599436866294,0.03309995214420691
193,1770,mordred__MAXaaaC,mordred,17.64497958868742,0.033041874068849925
194,905,mordred__MATS3d,mordred,17.629116333730053,0.0330121686407428
195,277,chemeleon_277,chemeleon,17.624232692847727,0.03300302356657481
196,227,chemeleon_227,chemeleon,17.51391970476834,0.03279645218223529
197,165,chemeleon_165,chemeleon,17.471968375350116,0.032717894395489736
198,734,mordred__ATS6dv,mordred,17.39157669286942,0.03256735345349777
199,276,chemeleon_276,chemeleon,17.351428133493755,0.03249217152221421
200,2043,boltz_tier0__affinity_probability_binary_2,boltz_tier0,17.32352125205216,0.03243991327744759
201,47,chemeleon_047,chemeleon,17.252215206681285,0.03230638604044231
202,259,chemeleon_259,chemeleon,17.21503826751723,0.03223676874584869
203,1447,mordred__GATS5are,mordred,17.207170861162012,0.03222203629185343
204,147,chemeleon_147,chemeleon,17.183718015323393,0.032178118645201544
205,263,chemeleon_263,chemeleon,17.123182397976052,0.032064760041695235
206,50,chemeleon_050,chemeleon,17.075676337903133,0.03197580050243665
207,384,mordred__MIC5,mordred,17.06932090688497,0.031963899363628305
208,814,mordred__ATSC8v,mordred,17.062340118805878,0.03195082718525308
209,1842,rdkit__Kappa1,rdkit_full,17.024382444447838,0.03187974789101072
210,1197,mordred__GATS6se,mordred,17.01290773387882,0.03185826042259556
211,73,chemeleon_073,chemeleon,16.955387583569973,0.03175054856306217
212,614,mordred__VR3_A,mordred,16.927289683837444,0.031697932618685754
213,91,chemeleon_091,chemeleon,16.85755284302286,0.03156734386393127
214,1429,mordred__BCUTd-1l,mordred,16.77205944666639,0.03140724948570145
215,767,mordred__ATSC3Z,mordred,16.71812528852024,0.031306252731779616
216,17,chemeleon_017,chemeleon,16.69977766298689,0.03127189508748265
217,849,mordred__GATS4d,mordred,16.678420967335114,0.031231902678043696
218,531,mordred__MID_X,mordred,16.601444468135014,0.031087756986061074
219,30,chemeleon_030,chemeleon,16.459508304935298,0.030821968249571542
220,15,chemeleon_015,chemeleon,16.346628601575503,0.030610590450883993
221,2085,boltz_tier1__pde_intra_ligand_std,boltz_tier1_conf,16.323863003373845,0.03056795973968932
222,289,chemeleon_289,chemeleon,16.295513688528445,0.030514872997006972
223,281,chemeleon_281,chemeleon,16.29410944203846,0.030512243414158754
224,1292,mordred__TopoPSA,mordred,16.259705663047498,0.030447819121277128
225,584,mordred__SaasC,mordred,16.19126143203175,0.03031965089922877
226,188,chemeleon_188,chemeleon,16.006439490622142,0.0299735545332612
227,223,chemeleon_223,chemeleon,15.995105433481513,0.02995233045154166
228,275,chemeleon_275,chemeleon,15.944169416703517,0.029856947997655096
229,690,mordred__AATS6Z,mordred,15.809766420628875,0.02960526582095133
230,48,chemeleon_048,chemeleon,15.655046382074943,0.029315538082580684
231,242,chemeleon_242,chemeleon,15.621259398991242,0.02925226879770524
232,604,mordred__VE1_A,mordred,15.593016187427565,0.029199380743338478
233,1245,mordred__MINsCH3,mordred,15.546379989827983,0.02911205010289255
234,1194,mordred__GATS5se,mordred,15.545066947786836,0.029109591308902307
