compound,qha,template_pdb,template_ccd,mcs_atoms,mcs_coverage,source,template_rmsd,rocs_inplace_shape,rocs_inplace_color,rocs_inplace_combo,rocs_best_shape,rocs_best_color,rocs_best_combo,skipped,error
x00052-1,10,6TFI,N6H,9.0,0.9,boltz_model_0,3.4188136549690085,0.14012998342514038,0.01729997806251049,0.15742996148765087,0.3268967270851135,0.1800140142440796,0.5069107413291931,,
x00052-1,10,6TFI,N6H,9.0,0.9,boltz_model_1,3.6484073701904984,0.09867657721042633,0.0027241655625402927,0.10140074277296662,0.32578495144844055,0.1803949624300003,0.5061799138784409,,
x00052-1,10,6TFI,N6H,9.0,0.9,boltz_model_2,3.482547373264487,0.13944050669670105,0.017733857035636902,0.15717436373233795,0.32678428292274475,0.18001049757003784,0.5067947804927826,,
x00052-1,10,6TFI,N6H,9.0,0.9,boltz_model_3,3.409988061006749,0.15026868879795074,0.02213394269347191,0.17240263149142265,0.31772661209106445,0.13922913372516632,0.4569557458162308,,
x00052-1,10,6TFI,N6H,9.0,0.9,boltz_model_4,3.5221638730735516,0.15135972201824188,0.03176955506205559,0.18312927708029747,0.32632577419281006,0.17982962727546692,0.506155401468277,,
x00052-1,10,6TFI,N6H,9.0,0.9,gnina_refined,3.4607519834726497,0.14156901836395264,0.02253916673362255,0.1641081850975752,0.3281030058860779,0.15582990646362305,0.4839329123497009,,
x00052-1,10,6TFI,N6H,9.0,0.9,template_transferred,0.06883863478103351,0.29152196645736694,0.1783595085144043,0.46988147497177124,0.34698161482810974,0.1741948127746582,0.5211764276027679,,
x00086-1,11,6TFI,N6H,9.0,0.8181818181818182,boltz_model_0,6.760303210142288,0.0694415420293808,0.00048804149264469743,0.0699295835220255,0.4355355203151703,0.16896726191043854,0.6045027822256088,,
x00086-1,11,6TFI,N6H,9.0,0.8181818181818182,boltz_model_1,6.527074879717028,0.12308496236801147,0.013951278291642666,0.13703624065965414,0.4357386529445648,0.16910846531391144,0.6048471182584763,,
x00086-1,11,6TFI,N6H,9.0,0.8181818181818182,boltz_model_2,6.654694614810474,0.06787288933992386,0.0004588760784827173,0.06833176541840658,0.4357698857784271,0.16895419359207153,0.6047240793704987,,
x00086-1,11,6TFI,N6H,9.0,0.8181818181818182,boltz_model_3,6.3494789172635855,0.07863657176494598,0.0007997544016689062,0.07943632616661489,0.43541625142097473,0.16895824670791626,0.604374498128891,,
x00086-1,11,6TFI,N6H,9.0,0.8181818181818182,boltz_model_4,6.663703632245366,0.1232198104262352,0.00023873390455264598,0.12345854433078784,0.43596163392066956,0.1689954549074173,0.6049570888280869,,
x00086-1,11,6TFI,N6H,9.0,0.8181818181818182,gnina_refined,6.748775319413221,0.07101591676473618,0.0006725736311636865,0.07168849039589986,0.4354754686355591,0.16898027062416077,0.6044557392597198,,
x00086-1,11,6TFI,N6H,9.0,0.8181818181818182,template_transferred,0.029129875098099934,0.43607279658317566,0.16909928619861603,0.6051720827817917,0.4359578490257263,0.169078066945076,0.6050359159708023,,
x00088-1,9,1M13,HYF,8.0,0.8888888888888888,boltz_model_0,6.788387408494383,0.09218476712703705,0.001200961647555232,0.09338572877459228,0.24159744381904602,0.17564767599105835,0.41724511981010437,,
x00088-1,9,1M13,HYF,8.0,0.8888888888888888,boltz_model_1,6.697211421244108,0.09216189384460449,0.004819178953766823,0.09698107279837132,0.2417415827512741,0.17538923025131226,0.41713081300258636,,
x00088-1,9,1M13,HYF,8.0,0.8888888888888888,boltz_model_2,6.811614811489477,0.0895196795463562,0.003378210123628378,0.09289788966998458,0.24177107214927673,0.17553676664829254,0.4173078387975693,,
x00088-1,9,1M13,HYF,8.0,0.8888888888888888,boltz_model_3,6.753023577887603,0.09465931355953217,1.988653457374312e-05,0.09467920009410591,0.26108217239379883,0.17539657652378082,0.43647874891757965,,
x00088-1,9,1M13,HYF,8.0,0.8888888888888888,boltz_model_4,6.395846044188843,0.10091796517372131,1.1744413086489658e-06,0.10091913961502996,0.23426644504070282,0.17043538391590118,0.404701828956604,,
x00088-1,9,1M13,HYF,8.0,0.8888888888888888,gnina_refined,7.071735470978807,0.0959753468632698,0.0005883286939933896,0.0965636755572632,0.23623399436473846,0.17559027671813965,0.4118242710828781,,
x00088-1,9,1M13,HYF,8.0,0.8888888888888888,template_transferred,0.18595981890723373,0.28317248821258545,0.17202146351337433,0.4551939517259598,0.26022401452064514,0.16585621237754822,0.42608022689819336,,
