name,oof_mae,oof_spearman,as1_mae,as1_bias,as1_spearman
lgbm_morgan_r2_2048_mixed_s2_default,0.5718,0.6858,0.6144548085759337,0.24249700918984418,0.6077253402081406
lgbm_mordred_jazzy_test_nn_default,0.5101,0.7313,0.5782272269311769,-0.09281436429722588,0.7161965190874389
lgbm_mordred_jazzy_adv_default,0.5104,0.7316,0.5751251647954194,-0.08772336412241535,0.7179205068977189
tabpfn_2d_full_boltz_umap_default,0.4874,0.7498,0.4962737272727273,0.03674624743083,0.7853757842997012
lgbm_3d_ligand_umap_default,0.5752,0.6708,0.6582430149827561,-0.14485490957687144,0.635292539741689
tabpfn_2d_full_boltz_umap,0.4824,0.75,0.4900057604743084,0.05006433992094861,0.794235442344516
tabpfn_3d_ligand_umap,0.5321,0.7027,0.5695788130434782,0.002230685770750942,0.6826137700790644
lgbm_pooled_boltz_umap,0.5115,0.7328,0.5208747166389356,-0.005158688885993252,0.751781185161971
tabpfn_pooled_boltz_allpairs_umap_default,0.4859,0.7577,0.4904747739130435,0.03336124980237152,0.7731266920045534
tabpfn_pooled_boltz_umap_default,0.486,0.7539,0.4879146019762846,0.029284980632411046,0.7667024024913781
chemprop_multitask_desc25_umap_w0.04_tuned,0.5122,0.7301,0.4766577039525692,0.12318495612648216,0.7827810960558138
chemprop_multitask_desc30_umap_w0.0469_noboltz_tuned,0.519,0.7235,0.4781988588932806,0.11414871264822132,0.7814580014222391
tabpfn_desc_top2000_umap_default,0.4837,0.7541,0.5066256786561265,0.03461231027667979,0.7820448907808454
chemprop_pretrain_finetune_umap,0.5071,0.7554,0.4523144031620553,0.17642211857707502,0.8097087210024099
chemprop_finetune_nopretrain_ablation_ablation_umap,0.5298,0.7173,0.4784494458498024,0.09372936679841896,0.7847911180068475
chemprop_pretrain_finetune_frozen_umap,0.4713,0.7845,0.4597996027667985,-0.05611732450592893,0.8163805118360073
attentivefp_pretrain_finetune_frozen_umap,0.5222,0.7321,0.5457441810276681,-0.0972195549407115,0.7165211392648128
gatedgcn_pretrain_finetune_frozen_umap,0.5076,0.7424,0.5123249403162056,0.10996010158102765,0.7376717573431105
